,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,1162.4418646639435,1165.8998821993202,1144.696356607209,1147.44921875,6215029,3578.127988288561,3585.0022659184015,3530.274189259942,3539.676513671875,2389041,1725.480313542678,1746.0377984851907,1715.9197247602908,1724.2684326171875,3690315,729.1522317973348,737.666154009168,724.395857160692,727.3685913085938,12341152,796.38601737993,810.9363100238994,793.669974594114,798.4230346679688,10835146
2022-01-19,1151.1804880553777,1156.6405988874542,1141.6252038335633,1147.3583984375,9755485,3564.9112784096897,3564.9112784096897,3474.722221889604,3478.40966796875,3102539,1720.0043002642583,1720.0043002642583,1672.2912154253556,1676.0616455078125,5747770,729.6279986191973,732.3629145201494,719.8060716409249,722.2318115234375,14317626,791.5359564713497,796.3860542438456,779.1682071514848,784.3577880859375,16416144
2022-01-20,1137.5528377304774,1142.0574560089742,1117.054465620327,1127.26953125,16494486,3474.277657855282,3483.1632784636076,3386.310013832859,3400.127197265625,6176776,1655.369343931458,1658.9601668033267,1629.7847309693936,1637.1458740234375,5533463,726.9881258170541,727.0119309169397,713.5038140786304,717.7369995117188,15197846,778.9256110069231,788.5773162844923,771.5534869385369,785.958251953125,13567654
2022-01-21,1115.6895591579548,1138.5538554378697,1115.6895591579548,1127.4515380859375,13338594,3382.7565666090263,3422.342059179579,3350.8572678451856,3406.303466796875,3112358,1611.3817881916982,1623.0519627022786,1594.325379291619,1603.0330810546875,8252758,713.4562224773198,727.6302426550222,706.6070311292943,723.72998046875,11537694,778.9257079622922,787.0253476195079,771.6505612503156,780.3807373046875,12078277
2022-01-24,1126.1545759538076,1139.6912967231897,1071.598729229798,1081.9730224609375,21868937,3412.078560539118,3420.653098273078,3323.3112910112377,3351.078857421875,3258414,1584.450510006209,1587.7271576234307,1551.235400164719,1559.13525390625,7116712,718.1888253449379,723.5635523601698,698.0218416410312,707.1065063476562,11868508,788.6259190532194,792.2150033426144,759.8163256674114,774.5121459960938,29612316
2022-01-25,1069.0734401117095,1086.8644436444313,1048.802657948011,1079.8572998046875,24510205,3349.4351892399127,3384.8887339958196,3307.406154089975,3349.79052734375,3330501,1549.9788780052622,1562.00815815135,1526.5487775496383,1545.984130859375,9137653,693.7887057220415,711.0781185988046,686.8206041850661,707.7724609375,13594248,765.3454397112157,780.1867272714006,762.4838701424657,777.6162109375,19513184
2022-01-27,1062.9080331478985,1072.0537511885557,1051.5554999211186,1063.863525390625,20020431,3315.225904723573,3317.358367446384,3221.1272449654125,3242.5859375,5718297,1527.8952534020755,1534.807544146456,1494.6801391976826,1506.888916015625,11231734,689.6743715648455,706.321683981928,682.5398091003816,701.54150390625,28617838,763.3083983827408,777.4706599600323,757.6337485604175,770.8260498046875,23984679
2022-01-28,1076.1036060522279,1081.0631640276079,1059.45018834078,1062.8399658203125,14667727,3239.6979015769352,3314.1594600905173,3239.6979015769352,3278.839111328125,3143862,1509.0433996097977,1550.8316470432278,1507.6968409545839,1513.71142578125,10998502,702.7543967837006,707.1302385002696,694.4307406458227,695.9765625,24925208,779.6532542601936,781.6902717400607,755.1602593363119,757.7308349609375,14072314
2022-01-31,1073.91956734709,1094.9411228295262,1072.0994499584988,1085.931884765625,12143683,3331.219548435409,3339.216607900845,3306.695145967757,3319.890380859375,2739393,1542.2585996575958,1570.5363330040534,1539.8796573165653,1558.5968017578125,8788872,700.4952407304369,709.4372503923628,697.665220374995,706.6547241210938,12842546,765.2969548408923,774.7546456885359,760.4953461079525,765.1514282226562,14824509
2022-02-01,1095.6690383601324,1101.402112704543,1067.9587979070466,1082.337158203125,13200509,3349.8796676041347,3383.6450329539907,3320.023889363237,3377.114013671875,2105169,1585.4380043158844,1597.9161353795928,1557.2500236065903,1590.7794189453125,5119935,717.4991893169476,721.542108182837,700.8280712395866,712.0293579101562,14739484,778.0041745847009,788.4803739691243,765.6364252212842,786.0068359375,20031583
2022-02-02,1095.2139504085303,1095.2139504085303,1080.6991087798986,1084.5439453125,10017691,3401.3267935830777,3433.4039723342744,3377.1134762316,3426.47314453125,1984212,1605.9955798264787,1609.4069054950608,1590.7345821422696,1604.2899169921875,4253717,719.1401203787386,730.1035883666477,716.1198337589774,728.296142578125,13969290,790.56591796875,794.1550020754337,784.600274169445,789.3533935546875,11214375
2022-02-03,1088.3886622160464,1092.6885576552872,1068.0041465713055,1070.5294189453125,9572839,3421.8532202674887,3449.842931105823,3390.7980130574983,3398.395263671875,1960538,1597.018700619469,1597.018700619469,1556.6219375346593,1560.70654296875,3832922,727.1308172000766,732.457933895551,717.7369767162163,720.7572631835938,10564762,789.6443412621226,793.863961498765,781.8356963345784,784.697265625,9755335
2022-02-04,1065.183161923649,1068.5730594354839,1056.1284310635565,1060.76953125,11061241,3390.13143394976,3398.4838319273167,3348.990960352186,3389.77587890625,2307366,1554.826382864696,1574.530980546349,1535.2115338427761,1562.9954833984375,4700077,726.9643987359728,729.0809624800141,720.1627589609288,724.87158203125,11579958,785.5218385784158,787.6558934806294,771.9415645528877,780.9142456054688,10314067
