,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-01-08,3829.6471015423167,3916.112994968031,3813.3696038615626,3899.408203125,2181277,842.7338203435289,844.4111600559388,830.4498497882179,835.8518676757812,19738190,428.2260697173429,436.97424286310576,422.5228390228783,434.5576171875,13482926
2025-01-09,3892.3851104960186,3927.2656647049257,3820.535960823577,3833.396728515625,2392472,830.844525028491,833.237171528912,817.9932112311335,822.778564453125,40420222,434.4126274415429,445.2874430291975,431.17434312214294,435.08929443359375,19732649
2025-01-10,3986.3486030473036,4078.4142731653005,3957.8746844541083,4048.658935546875,7894300,824.3571854708366,826.2811909461473,815.9705474379197,817.3272094726562,17453280,434.94431534989513,436.92593666981674,427.74275879733165,430.0627136230469,9145729
2025-01-13,4029.059922352462,4103.044847646488,4012.355128925775,4072.81494140625,4003771,809.0639234971638,812.3939122066796,801.3186405131205,804.5499267578125,21669066,420.4928844446885,429.19273722630277,420.4928844446885,424.4078063964844,17799607
2025-01-14,4083.160276521042,4094.4548391766625,4004.4296994802094,4017.717529296875,3441709,809.0145872775671,817.0558570637163,807.5839134440961,812.3198852539062,26661432,426.29277561702855,426.77610075945154,421.3145325500375,422.0395202636719,18048459
2025-01-15,4003.4334017642514,4039.9276635514543,3993.4202579833063,4033.426025390625,1653474,817.2038286822469,820.2624606383587,807.2385540448483,810.5685424804688,14022892,422.0395386220168,427.066102621971,420.8312257133989,422.7645263671875,9786805
2025-01-16,4043.2966270133784,4075.5670695763956,3978.6134649763417,3992.328125,2637705,815.4031740939097,819.201863784551,810.469857784879,815.008544921875,21212454,423.4411141911693,424.79444808982385,416.72291290775513,418.41455078125,15774070
2025-01-17,4020.939695681563,4021.6165011799776,3963.08887255939,3986.52880859375,1761466,810.7905598983193,814.2438814190301,803.3905852110819,807.4605712890625,23112076,418.5595763145332,427.0660870817343,418.0762511686735,425.51947021484375,11270061
2025-01-20,4007.3105183689017,4007.3105183689017,3932.2063483825796,3941.582275390625,1287799,802.1572072678132,819.3991231510713,802.1572072678132,814.6138305664062,17557618,424.35947781685184,426.48612025732217,421.4595269433882,423.10284423828125,8742771
2025-01-21,3958.497734138814,3973.673232978695,3895.3790145716716,3901.03369140625,1971591,818.0671578930118,819.4485105158285,805.6352251722408,810.2478637695312,31158144,423.39282913963933,432.09268179319355,420.7345408288311,422.95782470703125,15686500
2025-01-22,3914.7108496617475,4024.0810102403266,3909.1045498898884,4017.75,2409223,810.2479165643738,824.8012002853578,801.8859089377631,821.9152221679688,30619306,425.2294579278358,427.2111087280882,421.99117354679964,422.4261779785156,9619648
2025-01-23,4028.7689459052554,4051.339039072567,4001.7524202557865,4006.972412109375,1822998,832.2505181334424,832.2505181334424,814.6139111249832,821.347900390625,34909158,420.49287689797217,427.1144372962157,419.6228975353898,425.51947021484375,8888248
2025-01-24,3966.9071126772737,4038.4351649039104,3966.9071126772737,4013.64208984375,1910099,818.9305795964561,824.0119199318104,811.2839386423929,813.8986206054688,24236200,424.74612978757085,430.15937728937985,424.40779628749044,426.8727722167969,9665384
2025-01-27,3964.973867046099,4017.5084152856,3906.0599315038703,3929.354736328125,1551782,809.6065327196525,810.839861804967,802.157237088582,804.0319213867188,22804166,426.09942801772166,430.15937095928996,421.9911643624925,425.42279052734375,10480203
2025-01-28,3934.816117007367,3964.9738425768846,3893.735817565749,3905.3349609375,2468272,812.5171851743912,830.918478848159,812.5171851743912,824.0611572265625,30179312,425.32613404915026,427.06609279760266,420.00955737353587,420.9278869628906,20813072
2025-01-29,3918.5772926221866,3970.6285432095738,3918.5772926221866,3962.84716796875,1217089,826.3304621132276,829.3644636153648,823.2964606110903,827.4651489257812,12619890,421.4111847122362,422.90948078709505,415.7562748977468,418.89788818359375,15158510
2025-01-30,3962.9437281550117,3991.941585340912,3922.9267796325357,3963.088623046875,1531251,829.2904768269195,837.627793486482,825.1218486077116,834.470458984375,25744846,418.55960015677164,423.3928518906835,417.0613039191899,421.65289306640625,22496695
2025-01-31,3972.7066328908318,3990.5405047390313,3948.7833995175843,3975.0263671875,1492943,832.3738053097981,840.9824182950722,830.7457868177106,838.047119140625,15821686,421.94286574038716,433.2526863127406,420.5895611889515,432.5760192871094,13546181
2025-02-01,3975.606564509793,3997.741503018046,3920.5106310847846,3937.087646484375,437172,837.4304429485957,845.0770832229423,826.8485035606199,834.1990966796875,5587528,433.05930484973186,455.775585349662,424.8910985721678,447.1240539550781,30393007
2025-02-03,3896.2488211358454,3940.8089579536745,3865.1245003058734,3932.73779296875,1265713,823.8638327488314,832.1518283284162,820.6324864421063,827.8104858398438,20276540,446.59243971426656,449.68573248191484,437.21591998094135,439.19757080078125,16991730
2025-02-04,3947.285122132378,3981.2610880254483,3930.2248097290194,3969.85498046875,2547132,833.0891713164636,851.391824544325,828.8219005259823,848.9744873046875,28616502,442.7258148273928,444.9974488165376,433.78430000828064,439.9708557128906,18923681
2025-02-05,4011.3706027267413,4011.3706027267413,3939.842548605831,3954.438232421875,1693912,854.9437515638108,860.4690419690123,847.9877873258422,857.311767578125,23675506,439.9708671159242,440.64753410889205,431.6093481304944,433.2043151855469,12836283
2025-02-06,3968.2602324120217,4001.221226388129,3916.209217331792,3946.366943359375,2284536,856.1770794811201,862.8370567631686,850.5037655001158,860.29638671875,26760716,434.9926473462472,434.9926473462472,423.5861852824319,426.38946533203125,17469129
2025-02-07,3953.374842814853,3953.374842814853,3874.1140268953372,3894.799072265625,1548940,863.3303440695562,871.7169816976605,850.9970534399911,854.8203735351562,23509600,425.32610601162634,430.64268233677166,414.1129573168095,416.48126220703125,18875982
2025-02-10,3905.045086746592,3916.644230568612,3880.2520112210996,3902.096923828125,1339511,847.1984649999539,850.2324064646851,842.857122399865,846.4337768554688,17195950,412.7596610777305,418.84954591665235,412.2763359476629,412.9530029296875,12227140
2025-02-11,3884.1665374644367,3905.045090759602,3822.884488602531,3831.14892578125,1810908,840.1438107934578,844.090464044396,833.0891440189461,839.3544921875,22724704,414.4996202235818,416.1912581807673,403.5764840713996,404.34979248046875,14288751
2025-02-12,3838.446649169052,3887.404606196338,3808.5303361658844,3818.1962890625,1678002,835.2104927183359,844.5837941723514,829.389155095277,842.0184936523438,22809570,405.6753937562897,406.3136281355489,400.2258148708563,402.48419189453125,13884574
2025-02-13,3835.4503502565626,3851.3507965730623,3771.896705969927,3779.53271484375,2277310,838.1704689996619,845.6937766231139,835.4818356095761,837.5291137695312,12602434,402.5333188714483,406.46095206462076,401.60049400188456,402.287841796875,12989029
2025-02-14,3793.886656483722,3816.1183489930536,3769.7217733214056,3803.40771484375,1681975,839.601120018604,839.601120018604,828.7971451888767,836.1231079101562,19959892,404.30071268308313,408.6702162817502,401.01131412778494,402.8278503417969,14124236
2025-02-17,3727.674956536778,3802.5860959459837,3727.3849307355754,3774.071533203125,1799806,831.3624591587258,848.5304243918573,829.413823260936,847.2230834960938,12938946,402.3860051226291,403.95706437920165,399.39119682530554,401.2077331542969,11975265
2025-02-18,3768.174803332807,3793.3062796669183,3735.4073189681676,3743.816650390625,2149879,845.1017788797033,854.2284140997132,841.697778564227,850.0350952148438,16350910,400.6185827614127,403.4170273840887,396.69094959708514,397.9183349609375,12998403
