,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-06-18,408.4400661979771,409.86031339660474,406.3831678000489,407.3626403808594,8036215,1596.5585788351507,1619.9011823893957,1596.5585788351507,1608.2791748046875,5629707,1406.150024814166,1421.0351697486842,1399.402043989603,1401.78369140625,6751745
2025-06-19,407.11778041824044,409.66441515775824,406.2852227295919,407.4606018066406,12601006,1599.4148737815738,1605.4228739879738,1587.2018168292147,1593.997802734375,5147760,1397.2189939427594,1403.8676438261634,1393.9442134714564,1400.4937744140625,8849883
2025-06-20,407.46057840418473,410.8887323090276,407.46057840418473,409.9582214355469,13203184,1594.58871180959,1606.1122510729595,1584.6410236941556,1598.429931640625,9202821,1400.4937821267788,1422.3253290273638,1399.4021078732494,1416.1727294921875,12408178
2025-06-23,408.4400574370469,408.9297937169475,403.2978264980913,405.4036865234375,14839890,1576.8601291540897,1576.8601291540897,1551.6461498856431,1560.116455078125,7943676,1406.1500791810931,1412.3025575376569,1401.0891539348067,1409.226318359375,5514384
2025-06-24,408.3421256239387,412.0151479158747,405.25679287693885,405.844482421875,16690068,1576.860073737694,1584.739449496533,1552.827953627288,1557.7525634765625,8083992,1416.7680893764307,1424.9053748687675,1405.6538959425357,1413.1956787109375,11188438
2025-06-25,407.85236743319786,409.5664444107915,406.5790650634376,407.80340576171875,9946718,1566.025955644839,1595.4751470327865,1561.199813873949,1590.550537109375,7813533,1411.1117385952273,1417.9589294864209,1404.463088984364,1414.8826904296875,7527388
2025-06-26,408.635961243395,412.25999175637196,407.70545036119364,411.67230224609375,13703918,1584.5425210067874,1599.5132869304996,1582.3756205245834,1591.6339111328125,6519233,1413.8903780949927,1436.4165161110168,1410.814017835929,1428.080810546875,13617435
2025-06-27,412.3579493645105,413.3374219283217,409.2236252038625,410.0561828613281,21409935,1594.5886581952298,1605.0288069577266,1578.238977654369,1583.7545166015625,8912268,1427.882386711014,1454.774858156496,1426.0961208320166,1451.00390625,22532899
2025-06-30,411.18257641188427,412.1130873177171,407.26468609870335,407.9013671875,12317124,1590.648993297183,1590.648993297183,1570.064099926214,1577.6480712890625,6294505,1450.6071028820047,1450.706312958781,1431.2564136212704,1434.7296142578125,6325073
2025-07-01,408.4400629554616,410.25209319380195,406.38316457386264,406.5790710449219,13670465,1584.7395342639384,1593.308307768125,1576.3676970723639,1582.57275390625,4178937,1434.6302067068036,1436.5156826077227,1418.653508855977,1421.03515625,7761449
2025-07-02,408.3421042433258,408.3421042433258,403.2488648665335,404.47320556640625,15990899,1593.6038341220215,1624.1364168524187,1579.2239966239758,1586.2169189453125,8653641,1421.2336440793872,1439.8897415628453,1411.707175185214,1416.867431640625,13372280
2025-07-03,405.5016414226337,407.4605865502793,402.80809187212105,404.864990234375,14185298,1594.0962765801005,1607.786716594206,1590.6490495377586,1594.293212890625,5259695,1421.1344118511029,1435.027214103107,1412.798706272776,1414.98193359375,10177738
2025-07-04,406.383156862037,406.48111009570783,403.2978242937535,404.0813903808594,8256733,1600.4981989662078,1618.6207872342948,1587.9897380569496,1615.96142578125,4411273,1416.0734952431667,1433.3402880878325,1410.2186471744621,1431.7525634765625,5066503
2025-07-07,404.52218073930493,408.63597758463175,403.54270814671577,407.6075134277344,6845218,1615.2721260131761,1619.2118141254034,1598.5284515362102,1602.4681396484375,3294523,1425.9968814549877,1429.8670433562065,1418.6535190770169,1424.706787109375,5177477
