,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-03-27,3494.0970689111577,3540.638537603521,3489.892285017066,3529.232666015625,2528474,1322.9420827344788,1341.1515523929718,1322.9420827344788,1326.415283203125,15109614,1545.1268188199601,1573.3711130594893,1521.2687153711604,1556.540771484375,20801976
2025-03-28,3529.0393930182477,3538.656968927356,3471.9135171595426,3485.6875,2051919,1325.7702231722565,1347.5521031600986,1317.0375564815454,1338.025634765625,8266544,1661.426544350932,1838.999906983224,1661.426544350932,1820.8570556640625,56319333
2025-04-01,3453.354619757771,3464.2771927018816,3407.248075969345,3432.186279296875,2618493,1329.739654923708,1341.995067068455,1305.328040709696,1308.3546142578125,14288024,1842.1898620806462,1852.656849933377,1804.30933461362,1816.2716064453125,13947345
2025-04-02,3425.6135625063594,3445.0422214056125,3412.129605979645,3425.565185546875,1764313,1312.026343402594,1327.705290380845,1312.026343402594,1321.056640625,8042214,1817.2683826257924,1887.3806244558457,1804.3092553772267,1879.0235595703125,14559132
2025-04-03,3374.3842427691143,3385.0167912281404,3282.702582798802,3289.46875,4537821,1311.8278468858045,1322.7932860458366,1311.1332552048473,1319.3697509765625,4591008,1852.8228827038727,1923.0015658277237,1848.0048267429668,1867.7259521484375,13500360
2025-04-04,3250.2733357697866,3286.085501586113,3185.414699028632,3189.184326171875,5317367,1319.3697112264526,1328.3007984100484,1311.9766830431024,1325.07568359375,8648542,1868.5898388191633,1880.6186729475473,1815.2082748059147,1833.36767578125,11404995
2025-04-07,2996.445205771086,3181.4514379526936,2953.963392712106,3164.68115234375,6623955,1285.3322768617725,1314.854481252151,1255.3139009690346,1277.6912841796875,19185012,1661.4432325229084,1744.4979321336198,1654.2325761706127,1722.052001953125,12643101
2025-04-08,3191.7460628104113,3237.127665022999,3146.5577324611054,3182.949951171875,5557558,1289.8969896705237,1300.0189606799747,1277.4927025037578,1289.9466552734375,13085762,1794.340757488373,1847.1242327632144,1778.5738350201268,1840.2625732421875,10422066
2025-04-09,3151.631904539679,3160.7661816290088,3104.752039154662,3138.14794921875,2990265,1294.9579703581671,1295.106846037701,1274.6646041339118,1290.83984375,13005622,1827.6357883491708,1864.1206930850824,1796.866134477029,1843.63525390625,9485910
2025-04-11,3179.663390613554,3188.7492913945475,3098.904311833949,3123.552490234375,7108961,1295.1067945023049,1314.8544439632922,1295.1067945023049,1301.606689453125,13064247,1893.1623516429372,1902.0011736136614,1854.8166175635188,1875.6676025390625,7930965
